11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
11	1	0	0	0	12	0	0	0	0	0	0	0	0	12	0	0	0	0	11
11	0	12	12	12	0	0	12	12	0	12	12	12	12	12	12	12	12	0	11
11	0	0	0	11	12	0	12	12	0	0	2	2	12	0	0	0	12	0	11
11	0	12	0	0	0	0	0	0	12	12	2	2	12	12	12	0	12	0	11
11	0	12	0	12	0	12	0	0	12	2	2	2	2	11	0	0	12	0	11
11	0	0	0	11	12	11	0	2	12	0	12	12	12	11	12	12	12	0	11
11	12	12	0	0	11	0	0	0	0	11	0	12	0	0	0	0	0	0	11
11	0	12	0	0	0	0	0	12	0	12	0	12	0	0	0	0	0	0	11
11	0	12	12	0	12	0	12	11	12	0	12	0	0	0	12	12	12	0	11
11	0	12	12	12	12	12	12	12	0	0	12	12	12	0	0	0	12	0	11
11	0	12	0	0	0	0	12	0	0	12	2	0	0	12	0	0	12	0	11
11	0	12	0	0	0	0	12	0	12	12	0	12	0	0	0	0	0	0	11
11	0	12	0	0	0	0	12	0	12	12	0	12	0	0	12	12	0	0	11
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
